"","Total Records","Duid","Race Summary1","International Status1","Birth Sex1","First Generation Status1","On-Campus Status","Academic Program Affiliation Summary","Major Summary","Registrar Career Level","Registrar Class Year - Academic Year","UG or G/P Summary","Academic Career Summary","Age Groups"
"1","1","0034551","Black","Not International","Male","Not First-Generation","Not On-Campus","Divinity School","Master of Divinity (Hybrid)","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Divinity School","21 or older"
"2","2","0211517","White","Not International","Male","Not First-Generation","Not On-Campus","Graduate","Business Administration-PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"3","3","0227376","White","Not International","Male","Not First-Generation","Not On-Campus","Graduate","Liberal Studies-AM","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"4","4","0288014","White","Not International","Female","Not First-Generation","Not On-Campus","Multiple Academic Careers","Unknown","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Multiple Academic Careers","21 or older"
"5","5","0309865","Hispanic","Not International","Male","Not First-Generation","Not On-Campus","Graduate","Religion-PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"6","6","0413554","Asian","Not International","Female","Not First-Generation","Not On-Campus","Allied Health Graduate Program","Clinical Leadership - MHS","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Allied Health Graduate Program","21 or older"
"7","7","0427118","Hispanic","Not International","Male","First-Generation","Not On-Campus","Trinity College","Political Science (AB)","Undergraduate Student","Senior","Undergraduate","Undergraduate","21 or older"
"8","8","0433437","Hispanic","International","Male","Not First-Generation","On-Campus","Trinity College","Undeclared","Undergraduate Student","First-Year","Undergraduate","Undergraduate","21 or older"
"9","9","0491479","White","Not International","Male","Not First-Generation","Not On-Campus","School of Medicine","Unknown","Graduate / Professional Student","Graduate-Student","Graduate / Professional","School of Medicine","21 or older"
"10","10","0508249","Hispanic","Not International","Male","Not First-Generation","Not On-Campus","School of Medicine","Medicine MD Third Year","Graduate / Professional Student","Graduate-Student","Graduate / Professional","School of Medicine","21 or older"
"11","11","0514740","White","Not International","Male","First-Generation","Not On-Campus","Graduate","Biomedical Engineering-PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"12","12","0550184","Asian","Not International","Male","Not First-Generation","Not On-Campus","Allied Health Graduate Program","Clinical Research - MHS","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Allied Health Graduate Program","21 or older"
"13","13","0584597","Asian","Not International","Male","Not First-Generation","Not On-Campus","Graduate","Statistical Science - PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"14","14","0584769","Black","Not International","Female","Not First-Generation","Not On-Campus","Fuqua School of Business","Bus Admin Global-MBA","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Fuqua School of Business","21 or older"
"15","15","0585201","Black","Not International","Female","Not First-Generation","Not On-Campus","Graduate","Multiple Academic Majors","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"16","16","0587047","Black","Not International","Female","Not First-Generation","Not On-Campus","Graduate","Multiple Academic Majors","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"17","17","0590727","Unknown","International","Male","First-Generation","On-Campus","Nicholas School of Environment","Multiple Academic Majors","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Nicholas School of Environment","21 or older"
"18","18","0610089","Asian","Not International","Female","Not First-Generation","Not On-Campus","Graduate","Ecology-PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"19","19","0616663","Asian","Not International","Male","Not First-Generation","Not On-Campus","Graduate","Biomedical Engineering-PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"20","20","0616772","Black","Not International","Female","Not First-Generation","Not On-Campus","Graduate","Molecular Cancer Biology-PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"21","21","0618015","Asian","Not International","Female","Not First-Generation","Not On-Campus","Graduate","Biomedical Engineering-PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"22","22","0618883","White","Not International","Female","Not First-Generation","Not On-Campus","Multiple Academic Careers","Multiple Academic Majors","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Multiple Academic Careers","21 or older"
"23","23","0626649","White","Not International","Male","Not First-Generation","Not On-Campus","Multiple Academic Careers","Master of Egr Biomedical Egr","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Multiple Academic Careers","21 or older"
"24","24","0630420","Multiple Identities","Not International","Female","Not First-Generation","Not On-Campus","Graduate","Biology - PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"25","25","0633808","White","International","Female","Not First-Generation","Not On-Campus","Graduate","Public Policy - PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"26","26","0642085","White","Not International","Male","Not First-Generation","Not On-Campus","Multiple Academic Careers","Multiple Academic Majors","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Multiple Academic Careers","21 or older"
"27","27","0642623","White","Not International","Male","Not First-Generation","Not On-Campus","Graduate","Ecology-PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"28","28","0643490","White","Not International","Male","Not First-Generation","Not On-Campus","Graduate","Biomedical Engineering-PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
"29","29","0643790","White","Not International","Male","Not First-Generation","Not On-Campus","Graduate","Religion-PHD","Graduate / Professional Student","Graduate-Student","Graduate / Professional","Graduate","21 or older"
